search_id,user_id,metro_area,search_date,event_date,venue_type,capacity_needed,max_price,search_resulted_in_booking
29,1550,Chicago,2024-01-01,2024-01-15,workshop_space,33,113.10192479576025,False
30,1316,Miami,2024-01-01,2024-01-09,event_space,42,175.28368076859573,False
31,575,Austin,2024-01-01,2024-01-29,event_space,29,162.55895143643042,False
32,725,Los Angeles,2024-01-01,2024-01-16,event_space,25,142.96082464890463,True
33,345,Los Angeles,2024-01-01,2024-01-02,event_space,50,156.64885847563386,True
34,1621,Austin,2024-01-01,2024-01-14,photo_studio,22,125.32851121159214,False
35,1280,Chicago,2024-01-01,2024-01-08,meeting_room,9,146.61330816829218,False
36,963,New York,2024-01-01,2024-01-21,event_space,63,241.4894619583378,False
37,1300,New York,2024-01-01,2024-01-27,rooftop,52,312.50660809397834,True
38,1611,Miami,2024-01-01,2024-01-11,workshop_space,21,123.00047315861389,False
39,1657,New York,2024-01-01,2024-01-29,meeting_room,12,182.06988045759232,True
40,1616,San Francisco,2024-01-01,2024-01-18,photo_studio,11,221.95709306160674,True
41,1334,San Francisco,2024-01-01,2024-01-11,meeting_room,12,237.27662643993654,False
42,1717,New York,2024-01-01,2024-01-15,meeting_room,11,235.20471191420017,False
43,1115,New York,2024-01-01,2024-01-07,photo_studio,14,343.22613158386196,False
44,1093,Chicago,2024-01-01,2024-01-23,event_space,34,125.91399218886274,True
45,1564,Austin,2024-01-01,2024-01-21,event_space,71,143.9263202031852,True
46,1286,Miami,2024-01-01,2024-01-08,rooftop,91,95.90437928542185,False
47,1615,San Francisco,2024-01-01,2024-01-11,meeting_room,6,243.35519461181323,True
48,1263,New York,2024-01-01,2024-01-29,workshop_space,42,312.1425972048486,False
49,454,Chicago,2024-01-01,2024-01-21,workshop_space,34,99.69623656705268,True
50,499,New York,2024-01-01,2024-01-27,meeting_room,6,166.64900167987335,True
51,1476,New York,2024-01-01,2024-01-03,photo_studio,14,315.2612922888797,False
52,615,New York,2024-01-01,2024-01-10,meeting_room,5,349.52076161540424,False
53,1361,New York,2024-01-01,2024-01-17,meeting_room,13,391.3088537260425,False
54,1541,San Francisco,2024-01-01,2024-01-04,workshop_space,24,173.63625150986704,True
55,739,Austin,2024-01-02,2024-01-29,workshop_space,26,180.77725683829289,True
56,369,Chicago,2024-01-02,2024-01-19,meeting_room,12,172.75702831916064,True
57,673,Miami,2024-01-02,2024-01-18,photo_studio,19,157.3343381377955,False
58,322,Los Angeles,2024-01-02,2024-01-21,meeting_room,13,143.41717117917625,False
59,488,Austin,2024-01-02,2024-01-06,photo_studio,21,106.1610062220197,False
60,333,Miami,2024-01-02,2024-01-21,rooftop,70,121.5683815025001,False
61,1341,Austin,2024-01-02,2024-01-20,event_space,59,93.55536161347324,False
62,1836,Austin,2024-01-02,2024-02-01,photo_studio,21,185.5320249059259,False
63,1209,Chicago,2024-01-02,2024-01-23,event_space,43,105.28251110222945,True
64,333,Chicago,2024-01-02,2024-01-25,workshop_space,34,173.6116138540552,False
65,1600,Austin,2024-01-02,2024-01-25,meeting_room,8,156.67388703687513,False
66,1214,San Francisco,2024-01-02,2024-01-30,workshop_space,18,276.05152832380486,True
67,500,New York,2024-01-02,2024-02-01,meeting_room,14,382.60177608369503,True
68,1709,San Francisco,2024-01-02,2024-01-09,meeting_room,13,162.38288189125154,True
69,1467,San Francisco,2024-01-02,2024-01-23,event_space,40,266.20459659407555,False
70,718,New York,2024-01-02,2024-01-18,meeting_room,13,357.56746729515197,False
71,1801,New York,2024-01-02,2024-01-31,event_space,67,332.17264429753897,False
72,1386,San Francisco,2024-01-02,2024-01-16,meeting_room,7,131.94610210757062,False
73,964,Chicago,2024-01-02,2024-01-03,workshop_space,37,120.95226933868744,True
74,1369,Chicago,2024-01-02,2024-01-03,meeting_room,9,141.23867102487355,True
75,937,Los Angeles,2024-01-02,2024-01-08,photo_studio,12,107.84141540496991,False
76,1817,San Francisco,2024-01-02,2024-01-07,photo_studio,19,236.85250205821757,False
77,1600,Austin,2024-01-02,2024-01-26,workshop_space,24,137.4038575948827,True
78,1808,San Francisco,2024-01-02,2024-01-12,meeting_room,10,178.96447840269772,False
79,1660,San Francisco,2024-01-02,2024-01-29,event_space,34,277.7502023273528,True
80,761,Los Angeles,2024-01-02,2024-01-23,rooftop,106,189.1833632597957,True
81,1446,New York,2024-01-02,2024-01-30,meeting_room,9,222.82795971857516,True
82,1515,Los Angeles,2024-01-02,2024-01-05,event_space,46,133.4627203158451,True
83,538,San Francisco,2024-01-02,2024-01-27,photo_studio,7,214.65078605956265,True
84,482,New York,2024-01-02,2024-01-09,photo_studio,9,331.2552908715225,False
85,676,Austin,2024-01-02,2024-01-16,meeting_room,12,125.84882181602657,False
86,544,Chicago,2024-01-02,2024-01-16,rooftop,58,145.13637432792203,True
87,828,Austin,2024-01-02,2024-01-10,workshop_space,15,197.13537954848957,False
88,1649,Austin,2024-01-02,2024-01-17,rooftop,65,162.11205033710797,False
89,995,Los Angeles,2024-01-02,2024-01-15,event_space,68,236.31348147835874,True
90,538,Chicago,2024-01-02,2024-01-11,photo_studio,18,151.49924338234337,True
91,1020,San Francisco,2024-01-02,2024-01-18,photo_studio,8,287.5916293432672,False
92,979,Miami,2024-01-02,2024-01-26,rooftop,110,166.96663270639408,False
93,1154,San Francisco,2024-01-02,2024-01-24,event_space,44,295.954297267239,True
94,461,Miami,2024-01-02,2024-01-11,rooftop,79,164.62427210567245,False
95,1138,Miami,2024-01-02,2024-01-05,event_space,41,149.78720221976474,False
96,844,New York,2024-01-02,2024-01-04,event_space,32,188.04209347951937,False
97,743,New York,2024-01-02,2024-01-16,rooftop,58,246.54212998074954,False
98,479,Miami,2024-01-02,2024-01-11,workshop_space,33,188.52643729989697,True
99,1471,Chicago,2024-01-02,2024-01-18,event_space,33,151.58187773386408,True
100,316,San Francisco,2024-01-02,2024-01-04,workshop_space,34,263.67963298557794,False
101,381,Austin,2024-01-02,2024-01-08,meeting_room,6,136.4297037663078,False
102,1253,New York,2024-01-02,2024-01-14,rooftop,107,169.79001004967634,False
103,1143,Chicago,2024-01-02,2024-01-07,event_space,30,149.73450804965915,True
104,340,New York,2024-01-02,2024-01-08,meeting_room,13,203.35719138673602,False
105,1274,Austin,2024-01-02,2024-01-03,photo_studio,17,105.48753879983491,False
106,1717,New York,2024-01-02,2024-01-27,photo_studio,13,178.44051107077138,False
107,1641,Miami,2024-01-02,2024-01-24,meeting_room,8,125.52512519011816,True
108,1413,San Francisco,2024-01-02,2024-01-13,event_space,71,139.0925858218662,False
109,1620,New York,2024-01-02,2024-01-17,meeting_room,13,318.28943755600767,True
110,1723,Miami,2024-01-02,2024-01-04,meeting_room,11,131.4843536616095,False
111,907,Austin,2024-01-02,2024-01-26,rooftop,61,167.78542608006694,False
112,1017,Austin,2024-01-02,2024-01-12,meeting_room,13,176.1869555505908,False
113,1451,Chicago,2024-01-02,2024-01-15,meeting_room,5,174.80522037332867,True
114,1833,New York,2024-01-02,2024-01-15,meeting_room,7,345.0105968693176,False
115,1709,San Francisco,2024-01-02,2024-01-12,workshop_space,19,260.30865812622994,True
116,1273,Los Angeles,2024-01-02,2024-01-28,rooftop,49,138.9907191297538,False
117,549,Chicago,2024-01-02,2024-01-07,workshop_space,24,145.97588972135983,True
118,1685,New York,2024-01-02,2024-01-17,meeting_room,8,207.96910254291836,False
119,543,New York,2024-01-02,2024-01-28,photo_studio,13,341.5577544376904,True
120,640,Los Angeles,2024-01-02,2024-01-19,meeting_room,11,109.3844343857697,True
121,1100,Miami,2024-01-02,2024-01-07,event_space,36,178.58322273343714,False
122,1395,New York,2024-01-02,2024-01-05,photo_studio,8,272.3726012182633,False
123,430,New York,2024-01-02,2024-01-29,meeting_room,6,376.6968684799826,True
124,1358,Austin,2024-01-02,2024-02-01,event_space,53,146.11931956696438,False
125,914,Los Angeles,2024-01-02,2024-01-24,meeting_room,9,109.60574819825989,True
126,865,Austin,2024-01-02,2024-01-03,event_space,54,172.2376127571862,False
127,1020,San Francisco,2024-01-02,2024-01-15,photo_studio,10,152.79746421965783,False
128,1560,Los Angeles,2024-01-02,2024-01-26,event_space,60,141.20827523289626,True
129,373,New York,2024-01-03,2024-01-29,workshop_space,25,380.346862443706,False
130,615,New York,2024-01-03,2024-01-31,meeting_room,12,304.97268961546007,False
131,1103,San Francisco,2024-01-03,2024-01-04,event_space,25,191.0880917385376,True
132,796,Austin,2024-01-03,2024-01-27,event_space,59,184.25366251860595,False
133,1017,Austin,2024-01-03,2024-01-15,event_space,55,196.87062706060243,True
134,1140,New York,2024-01-03,2024-01-06,rooftop,88,353.1137763905346,False
135,708,Chicago,2024-01-03,2024-01-10,meeting_room,6,73.7156066236757,True
136,1491,Los Angeles,2024-01-03,2024-01-24,photo_studio,17,158.753540227271,True
137,1277,Chicago,2024-01-03,2024-01-17,meeting_room,12,88.00188984864073,False
138,1058,New York,2024-01-03,2024-01-19,meeting_room,6,328.6235453699814,False
139,1169,Miami,2024-01-03,2024-01-22,workshop_space,32,114.57667144326676,False
140,1794,New York,2024-01-03,2024-01-17,event_space,30,363.431087219285,True
141,1511,Austin,2024-01-03,2024-01-13,photo_studio,16,146.51654302986833,False
142,1776,New York,2024-01-03,2024-02-02,event_space,50,333.9074044433152,True
143,1393,New York,2024-01-03,2024-01-20,workshop_space,29,331.4296789062703,True
144,1196,San Francisco,2024-01-03,2024-01-24,photo_studio,15,168.21279675303322,False
145,1267,Miami,2024-01-03,2024-01-15,event_space,49,211.9433108366708,True
146,622,Los Angeles,2024-01-03,2024-01-19,event_space,33,200.5741154825463,False
147,900,Chicago,2024-01-03,2024-01-14,meeting_room,7,170.179576650092,True
148,1656,Austin,2024-01-03,2024-01-27,photo_studio,14,185.98080720906916,False
149,1803,Miami,2024-01-03,2024-01-29,workshop_space,35,184.96517145301203,True
150,488,Miami,2024-01-03,2024-01-26,rooftop,49,115.35153398874662,False
151,958,Austin,2024-01-03,2024-01-07,meeting_room,6,152.68988087074672,True
152,1240,Miami,2024-01-03,2024-01-04,event_space,36,161.50162743188824,True
153,1685,New York,2024-01-03,2024-01-31,meeting_room,11,201.93155079117182,True
154,1347,San Francisco,2024-01-03,2024-01-07,meeting_room,9,231.1613258779365,True
155,1566,New York,2024-01-03,2024-01-28,event_space,74,348.3725929651993,False
156,932,Miami,2024-01-03,2024-01-26,workshop_space,23,107.95554534085002,False
157,768,Chicago,2024-01-03,2024-01-29,meeting_room,5,174.1969145483172,True
158,744,Austin,2024-01-03,2024-01-23,workshop_space,18,92.70702312736428,False
159,1033,Austin,2024-01-03,2024-01-20,workshop_space,18,147.49674383577954,False
160,1562,Chicago,2024-01-03,2024-01-09,photo_studio,20,170.38646321786158,False
161,708,Austin,2024-01-03,2024-01-08,workshop_space,29,184.4591254883655,False
162,1246,San Francisco,2024-01-03,2024-01-18,event_space,31,272.7471165086348,True
163,1593,Austin,2024-01-03,2024-01-13,meeting_room,13,136.83959991453892,False
164,385,Los Angeles,2024-01-03,2024-01-15,meeting_room,8,204.69771060169666,True
165,1472,San Francisco,2024-01-03,2024-01-29,meeting_room,12,215.33704933457074,True
166,1592,Chicago,2024-01-03,2024-01-18,workshop_space,27,116.20540649437196,False
167,1773,New York,2024-01-03,2024-01-28,photo_studio,21,266.2188854436594,False
168,1395,San Francisco,2024-01-03,2024-01-14,workshop_space,43,135.2600786156554,False
169,1382,Austin,2024-01-03,2024-01-05,workshop_space,28,127.1919519536427,False
170,883,New York,2024-01-03,2024-01-24,photo_studio,21,173.87435909104283,False
171,1131,Austin,2024-01-03,2024-02-01,workshop_space,44,130.31663572967304,True
172,903,Austin,2024-01-03,2024-02-02,photo_studio,12,169.1237002435582,True
173,779,Chicago,2024-01-04,2024-01-27,meeting_room,10,171.40866389767137,False
174,1219,San Francisco,2024-01-04,2024-01-24,photo_studio,20,232.38474251256497,True
175,1145,Chicago,2024-01-04,2024-01-17,photo_studio,20,156.4088140581977,True
176,1550,Miami,2024-01-04,2024-01-28,meeting_room,10,139.47914713407326,True
177,1111,San Francisco,2024-01-04,2024-01-22,rooftop,58,136.7075222142107,False
178,1556,Los Angeles,2024-01-04,2024-02-02,event_space,56,99.37273088109744,False
179,1275,Chicago,2024-01-04,2024-01-21,meeting_room,12,150.4629986111563,True
180,739,San Francisco,2024-01-04,2024-01-16,meeting_room,8,232.85811581723306,False
181,405,New York,2024-01-04,2024-01-23,workshop_space,43,267.6968526207705,False
182,735,New York,2024-01-04,2024-01-23,rooftop,97,397.3600189356693,False
183,1104,Miami,2024-01-04,2024-01-14,photo_studio,20,118.86660249713438,False
184,677,Miami,2024-01-04,2024-01-27,workshop_space,36,176.76126186904486,True
185,1253,Miami,2024-01-04,2024-01-11,photo_studio,9,156.17164090925988,True
186,787,New York,2024-01-04,2024-01-07,meeting_room,12,358.82503106365135,False
187,1441,Chicago,2024-01-04,2024-01-07,event_space,31,95.19671541590782,False
188,1515,Los Angeles,2024-01-04,2024-01-17,event_space,54,170.72807991616995,False
189,1201,Chicago,2024-01-04,2024-01-20,photo_studio,22,146.41392904931192,False
190,645,New York,2024-01-04,2024-01-19,meeting_room,10,276.3434565862725,False
191,836,Los Angeles,2024-01-04,2024-01-11,photo_studio,20,113.00037470462756,False
192,1040,Chicago,2024-01-04,2024-02-03,meeting_room,6,132.37488263761892,False
193,885,Chicago,2024-01-04,2024-01-06,event_space,31,133.7505934780522,False
194,1244,San Francisco,2024-01-04,2024-01-14,meeting_room,8,187.40275691886853,False
195,1110,New York,2024-01-04,2024-01-06,workshop_space,19,301.50981859282905,False
196,1579,Los Angeles,2024-01-04,2024-01-05,meeting_room,6,202.5110869883469,True
197,496,New York,2024-01-04,2024-01-23,event_space,68,260.2180370351847,False
198,999,Miami,2024-01-04,2024-01-31,event_space,41,137.8043432141098,True
199,686,Chicago,2024-01-04,2024-01-19,workshop_space,30,121.78110577360768,False
200,1462,New York,2024-01-04,2024-01-24,meeting_room,12,181.435595392844,True
201,1291,New York,2024-01-04,2024-01-22,event_space,36,254.89531100809194,False
202,1061,Miami,2024-01-04,2024-01-07,photo_studio,14,124.61351312146321,False
203,1004,Austin,2024-01-04,2024-01-22,photo_studio,19,164.8878618855906,False
204,1863,Miami,2024-01-04,2024-01-22,photo_studio,8,214.0822190766702,True
205,1629,New York,2024-01-04,2024-01-20,meeting_room,10,205.45500949125034,False
206,596,Los Angeles,2024-01-04,2024-01-05,meeting_room,11,172.5877588531602,True
207,1065,New York,2024-01-04,2024-01-23,meeting_room,13,361.34018579898327,True
208,1140,New York,2024-01-04,2024-01-06,workshop_space,33,256.43148765962064,False
209,1074,Los Angeles,2024-01-04,2024-01-05,rooftop,62,121.99315282516812,False
210,1681,Los Angeles,2024-01-04,2024-01-10,meeting_room,6,110.30404315900962,False
211,566,Chicago,2024-01-04,2024-01-18,meeting_room,12,88.65655604849589,False
212,1000,Chicago,2024-01-04,2024-01-27,meeting_room,14,91.59744673173493,False
213,1634,San Francisco,2024-01-04,2024-01-15,event_space,41,194.30810615973164,True
214,977,New York,2024-01-04,2024-01-12,rooftop,104,172.45074844818018,False
215,472,Chicago,2024-01-04,2024-01-08,event_space,62,113.58525740005494,False
216,1338,Miami,2024-01-04,2024-01-05,event_space,52,96.64048397474468,False
217,1727,Chicago,2024-01-04,2024-01-23,meeting_room,13,101.06925174474812,False
218,576,Miami,2024-01-04,2024-01-14,meeting_room,10,191.64827263783974,False
219,891,Los Angeles,2024-01-04,2024-01-30,event_space,67,168.06226179970648,True
220,706,New York,2024-01-04,2024-01-18,rooftop,96,289.0085511552321,False
221,670,Chicago,2024-01-04,2024-01-24,meeting_room,13,175.80035979727023,False
222,1464,Los Angeles,2024-01-04,2024-01-20,rooftop,37,230.42498151019765,True
223,1185,Chicago,2024-01-04,2024-01-31,meeting_room,11,179.91812182927976,False
224,1492,Austin,2024-01-04,2024-01-28,photo_studio,15,85.45816763766076,False
225,1611,Miami,2024-01-04,2024-01-31,meeting_room,5,180.19266888672828,True
226,1847,San Francisco,2024-01-04,2024-01-24,photo_studio,11,197.75323776865773,True
227,666,San Francisco,2024-01-04,2024-01-25,workshop_space,41,290.17352388556554,False
228,439,New York,2024-01-04,2024-01-15,workshop_space,28,219.02278839756912,False
229,876,San Francisco,2024-01-04,2024-01-27,event_space,54,122.85743090900243,False
230,1841,Miami,2024-01-04,2024-01-05,rooftop,83,88.5648606940414,False
231,1247,Austin,2024-01-04,2024-01-29,event_space,69,164.39596100656095,False
232,521,San Francisco,2024-01-04,2024-01-22,meeting_room,13,237.22796480323493,False
233,1590,San Francisco,2024-01-04,2024-01-16,workshop_space,35,241.0042643712074,True
234,1811,New York,2024-01-04,2024-01-30,photo_studio,13,361.3949902676925,True
235,1466,Chicago,2024-01-04,2024-01-19,meeting_room,9,173.114767736517,False
236,1446,New York,2024-01-04,2024-01-27,photo_studio,18,323.3330445076204,True
237,693,Austin,2024-01-04,2024-01-27,meeting_room,11,116.38142389811381,False
238,530,Austin,2024-01-04,2024-01-20,rooftop,110,84.41552515097531,False
239,1199,Austin,2024-01-04,2024-01-17,meeting_room,6,178.53481647828468,False
240,757,New York,2024-01-04,2024-01-11,meeting_room,10,200.91450313052866,True
241,1264,San Francisco,2024-01-04,2024-01-07,photo_studio,17,221.7252420752882,True
242,1536,San Francisco,2024-01-04,2024-02-01,photo_studio,9,288.0414121045365,True
243,1747,New York,2024-01-04,2024-01-26,event_space,64,206.04437145173642,False
244,921,Austin,2024-01-05,2024-01-20,event_space,37,147.21391727009586,False
245,1584,Miami,2024-01-05,2024-02-02,event_space,58,173.80396621559478,False
246,947,New York,2024-01-05,2024-01-20,rooftop,58,323.2416341035877,False
247,1044,New York,2024-01-05,2024-01-07,event_space,27,333.0928669414786,True
248,1154,New York,2024-01-05,2024-01-12,event_space,47,161.2382281873087,False
249,1711,Chicago,2024-01-05,2024-01-13,workshop_space,39,178.94858163329937,False
250,1753,New York,2024-01-05,2024-01-15,meeting_room,7,199.47557806233996,True
251,1431,San Francisco,2024-01-05,2024-01-06,photo_studio,7,197.75080982931428,True
252,1184,New York,2024-01-05,2024-01-09,photo_studio,12,220.098273003972,False
253,1739,New York,2024-01-05,2024-01-22,rooftop,99,357.192111015776,False
254,887,Miami,2024-01-05,2024-01-26,workshop_space,33,188.86101130119368,True
255,1344,San Francisco,2024-01-05,2024-01-18,meeting_room,14,285.0085880309482,True
256,1289,Miami,2024-01-05,2024-02-04,workshop_space,16,104.83472436803798,False
257,969,San Francisco,2024-01-05,2024-01-07,photo_studio,13,138.32896472485066,False
258,1589,Los Angeles,2024-01-05,2024-01-30,meeting_room,8,109.799556202378,True
259,1393,New York,2024-01-05,2024-01-20,workshop_space,38,309.76195754517295,False
260,422,San Francisco,2024-01-05,2024-01-16,workshop_space,41,231.46149976722916,False
261,1650,Chicago,2024-01-05,2024-01-24,photo_studio,7,127.85899239364949,True
262,1021,Los Angeles,2024-01-05,2024-01-31,meeting_room,10,105.72640399169666,True
263,1088,Miami,2024-01-05,2024-01-21,meeting_room,10,134.9116403726706,False
264,1253,New York,2024-01-05,2024-01-15,meeting_room,12,174.51788388672009,True
265,482,Chicago,2024-01-05,2024-01-24,event_space,57,110.63631291395673,False
266,1428,Austin,2024-01-05,2024-01-17,meeting_room,8,121.14803787266963,False
267,439,New York,2024-01-05,2024-02-01,photo_studio,9,216.97296531279298,False
268,1198,Austin,2024-01-05,2024-02-04,event_space,34,104.04462841798794,False
269,792,New York,2024-01-05,2024-01-28,meeting_room,6,274.1740143801836,False
270,1630,Chicago,2024-01-05,2024-01-25,event_space,53,176.01100802608826,False
271,703,Los Angeles,2024-01-05,2024-02-04,event_space,30,222.15918887886076,True
272,1215,Austin,2024-01-05,2024-01-13,meeting_room,5,106.76301064481189,False
273,1211,Austin,2024-01-05,2024-02-01,meeting_room,9,172.2018092446818,False
274,382,Miami,2024-01-05,2024-01-06,photo_studio,10,112.32027561249681,False
275,1022,Miami,2024-01-05,2024-01-15,meeting_room,5,103.20498662290767,True
276,843,Chicago,2024-01-05,2024-01-06,photo_studio,21,110.87019756988973,False
277,1796,San Francisco,2024-01-05,2024-01-11,meeting_room,7,167.15979344688802,True
278,1010,Chicago,2024-01-05,2024-02-01,photo_studio,10,74.32113903028042,False
279,1425,San Francisco,2024-01-06,2024-01-10,photo_studio,13,261.7345344968295,True
280,787,Chicago,2024-01-06,2024-01-18,meeting_room,9,111.92119067478684,True
281,905,Los Angeles,2024-01-06,2024-02-04,rooftop,110,239.6680676470797,False
282,1694,Miami,2024-01-06,2024-01-11,photo_studio,9,204.5194521396497,False
283,893,San Francisco,2024-01-06,2024-01-27,event_space,43,227.91884926942905,False
284,967,New York,2024-01-06,2024-01-24,meeting_room,11,205.38451943594592,True
285,1337,Chicago,2024-01-06,2024-01-15,meeting_room,7,139.98158724550967,False
286,647,Austin,2024-01-06,2024-01-09,rooftop,103,105.1085088199066,False
287,1760,Austin,2024-01-06,2024-02-04,photo_studio,10,126.57390125212791,False
288,1431,San Francisco,2024-01-06,2024-01-17,event_space,49,203.56810996100106,False
289,727,New York,2024-01-06,2024-01-25,event_space,72,273.70195734799285,False
290,650,Miami,2024-01-06,2024-01-14,rooftop,81,92.8317924093481,False
291,1560,New York,2024-01-06,2024-01-19,meeting_room,7,262.0054850972454,False
292,1732,Los Angeles,2024-01-06,2024-01-11,rooftop,65,175.27948424373034,False
293,1862,Los Angeles,2024-01-06,2024-01-23,event_space,36,101.92458071557022,False
294,1681,Austin,2024-01-06,2024-02-01,event_space,48,129.07433304266206,False
295,821,Chicago,2024-01-06,2024-01-15,meeting_room,5,119.70235742069306,False
296,667,Chicago,2024-01-06,2024-01-23,event_space,29,163.00116603218473,False
297,1252,Miami,2024-01-06,2024-01-10,meeting_room,7,118.06189019225539,True
298,1203,Los Angeles,2024-01-06,2024-01-17,meeting_room,7,124.31707049321722,True
299,1822,Los Angeles,2024-01-06,2024-01-13,photo_studio,19,217.74454587342512,False
300,1860,Miami,2024-01-06,2024-02-05,rooftop,93,185.65637278327782,True
301,1185,Chicago,2024-01-06,2024-01-19,workshop_space,23,109.4362948579926,True
302,1768,Austin,2024-01-06,2024-01-31,workshop_space,15,158.49092410145425,False
303,718,Austin,2024-01-06,2024-01-14,meeting_room,12,105.18500251272759,True
304,1319,Chicago,2024-01-06,2024-01-21,workshop_space,37,150.03111794557387,False
305,327,Los Angeles,2024-01-07,2024-01-14,meeting_room,12,196.50354275216947,True
306,537,Los Angeles,2024-01-07,2024-02-04,workshop_space,15,116.00883247823428,False
307,1397,Chicago,2024-01-07,2024-02-03,rooftop,38,159.52334957685767,True
308,372,Austin,2024-01-07,2024-02-01,meeting_room,9,170.3151420384962,False
309,530,Chicago,2024-01-07,2024-02-06,event_space,26,156.81864356606133,False
310,1766,Miami,2024-01-07,2024-02-02,rooftop,112,163.0011967952459,False
311,570,New York,2024-01-07,2024-01-14,photo_studio,20,395.24130770203806,True
312,1635,San Francisco,2024-01-07,2024-01-22,event_space,48,179.1914452799611,False
313,843,Chicago,2024-01-07,2024-01-13,event_space,33,144.88763808990964,False
314,885,San Francisco,2024-01-07,2024-01-10,photo_studio,14,153.60457894071766,False
315,383,New York,2024-01-07,2024-01-22,meeting_room,7,285.8549673616518,False
316,735,Miami,2024-01-07,2024-01-21,event_space,33,201.48136985372932,True
317,1277,Los Angeles,2024-01-07,2024-01-31,rooftop,47,156.25150123885393,False
318,1304,Austin,2024-01-07,2024-01-14,rooftop,102,95.59187400679208,False
319,1209,Chicago,2024-01-07,2024-01-26,workshop_space,34,89.14837498367295,True
320,664,Chicago,2024-01-07,2024-01-08,event_space,59,101.74762557285945,False
321,1800,New York,2024-01-07,2024-01-18,workshop_space,33,219.24162958715527,True
322,594,Miami,2024-01-07,2024-01-17,event_space,53,185.32237383742296,False
323,1644,Miami,2024-01-07,2024-02-02,rooftop,63,199.22841055644696,True
324,1226,Miami,2024-01-07,2024-01-15,photo_studio,19,111.1166699438316,False
325,621,Chicago,2024-01-07,2024-01-29,photo_studio,13,113.54381965376417,False
326,1359,New York,2024-01-07,2024-01-15,photo_studio,13,386.96496673285566,True
327,1136,San Francisco,2024-01-07,2024-01-10,workshop_space,31,239.99824929932757,False
328,593,Miami,2024-01-07,2024-02-01,photo_studio,10,153.1403601936155,True
329,1200,New York,2024-01-07,2024-02-01,rooftop,43,185.25389463495284,False
330,1632,New York,2024-01-07,2024-01-08,meeting_room,7,170.71243964821247,False
331,688,New York,2024-01-07,2024-01-31,photo_studio,18,251.47733630595988,False
332,666,San Francisco,2024-01-07,2024-01-30,meeting_room,5,165.10903195025688,True
333,1053,Austin,2024-01-08,2024-01-11,photo_studio,14,135.3628397598003,False
334,1214,San Francisco,2024-01-08,2024-02-04,meeting_room,14,145.246036833091,False
335,1131,Miami,2024-01-08,2024-01-14,meeting_room,13,168.12248958101864,True
336,495,San Francisco,2024-01-08,2024-02-02,event_space,44,133.96535397209664,False
337,1274,Austin,2024-01-08,2024-01-31,meeting_room,9,101.35282744467773,False
338,1534,Los Angeles,2024-01-08,2024-02-04,photo_studio,10,196.33090036270667,True
339,709,Austin,2024-01-08,2024-01-12,event_space,58,159.20484891266514,True
340,1216,San Francisco,2024-01-08,2024-02-02,event_space,27,120.83983189433549,False
341,639,Miami,2024-01-08,2024-01-15,meeting_room,7,207.95584275936577,False
342,366,Los Angeles,2024-01-08,2024-01-15,event_space,74,144.54479651269185,False
